D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-21.000;29.000;-45.000;71.000;-2.000;78.000;-20.000;60.000;6.000;77.000;-3.000;68.000;-7.000;82.000;8.000;78.000;-29.000;59.000;5.000;
61.000;-24.411;54.000;-42.393;138.000;-12.271;148.000;-19.479;98.000;-4.751;119.000;-19.389;122.000;-22.045;117.000;-17.449;154.000;-40.456;108.000;-14.181;
80.000;-27.713;79.000;-39.782;205.000;-20.169;218.000;-17.147;136.000;-14.877;161.000;-34.818;176.000;-35.803;152.000;-41.824;230.000;-49.079;157.000;-32.298;
99.000;-30.798;104.000;-37.164;272.000;-23.320;288.000;-11.192;174.000;-23.753;203.000;-48.329;230.000;-46.986;187.000;-64.054;306.000;-52.035;206.000;-48.289;
118.000;-33.557;129.000;-34.535;339.000;-19.352;358.000;0.196;212.000;-30.752;245.000;-58.962;284.000;-54.307;222.000;-83.064;382.000;-46.490;255.000;-61.090;
137.000;-35.882;154.000;-31.890;406.000;-5.892;428.000;18.830;250.000;-35.250;287.000;-65.757;338.000;-56.480;257.000;-97.783;458.000;-29.612;304.000;-69.638;
156.000;-37.665;179.000;-29.227;473.000;19.435;498.000;46.520;288.000;-36.622;329.000;-67.757;392.000;-52.217;292.000;-107.135;534.000;1.434;353.000;-72.870;
181.000;-39.000;209.000;-26.000;540.000;59.000;571.000;87.000;328.000;-34.000;371.000;-64.000;450.000;-39.000;329.000;-110.000;612.000;51.000;407.000;-69.000;
225.000;-38.003;251.000;-21.247;585.000;94.469;617.000;119.287;368.000;-26.699;411.000;-54.652;491.000;-23.682;359.000;-106.395;653.000;84.987;450.000;-59.569;
269.000;-32.269;293.000;-15.387;630.000;136.444;663.000;156.298;408.000;-15.024;451.000;-41.133;532.000;-4.165;389.000;-97.908;694.000;123.525;493.000;-44.452;
313.000;-21.317;335.000;-7.392;675.000;183.937;709.000;197.248;448.000;0.512;491.000;-25.363;573.000;18.502;419.000;-85.220;735.000;165.371;536.000;-23.776;
357.000;-4.670;377.000;3.770;720.000;235.959;755.000;241.352;488.000;19.395;531.000;-9.264;614.000;43.270;449.000;-69.014;776.000;209.282;579.000;2.330;
401.000;18.151;419.000;19.128;765.000;291.524;801.000;287.825;528.000;41.113;571.000;5.246;655.000;69.088;479.000;-49.970;817.000;254.015;622.000;33.738;
445.000;47.626;461.000;39.711;810.000;349.642;847.000;335.883;568.000;65.151;611.000;16.246;696.000;94.908;509.000;-28.771;858.000;298.326;665.000;70.318;
492.000;87.000;505.000;68.000;857.000;412.000;897.000;389.000;614.000;95.000;655.000;22.000;741.000;122.000;543.000;-3.000;905.000;347.000;710.000;114.000;
536.000;131.656;548.000;103.183;902.000;472.385;943.000;438.042;659.000;125.838;715.000;16.887;782.000;144.424;583.000;28.571;946.000;386.540;752.000;159.523;
580.000;183.846;591.000;145.767;947.000;533.032;989.000;487.487;704.000;157.932;775.000;1.806;823.000;163.673;623.000;60.811;987.000;423.729;794.000;209.002;
624.000;243.462;634.000;195.466;992.000;593.672;1035.000;537.789;749.000;190.997;835.000;-16.239;864.000;178.772;663.000;93.142;1028.000;459.306;836.000;261.707;
668.000;310.394;677.000;251.995;1037.000;654.032;1081.000;589.406;794.000;224.745;895.000;-30.245;905.000;188.745;703.000;124.987;1069.000;494.008;878.000;316.912;
712.000;384.534;720.000;315.068;1082.000;713.842;1127.000;642.793;839.000;258.891;955.000;-33.209;946.000;192.619;743.000;155.766;1110.000;528.575;920.000;373.885;
756.000;465.772;763.000;384.399;1127.000;772.831;1173.000;698.405;884.000;293.150;1015.000;-18.129;987.000;189.417;783.000;184.904;1151.000;563.745;962.000;431.900;
800.000;554.000;810.000;467.000;1173.000;832.000;1220.000;758.000;934.000;331.000;1075.000;22.000;1031.000;177.000;828.000;215.000;1195.000;603.000;1006.000;493.000;
843.000;646.581;853.000;548.415;1217.000;887.316;1264.000;816.643;982.000;367.009;1122.000;74.489;1066.000;160.364;868.000;238.840;1236.000;641.659;1048.000;550.999;
886.000;743.894;896.000;634.672;1261.000;941.397;1308.000;877.867;1030.000;403.543;1169.000;144.136;1101.000;140.475;908.000;259.904;1277.000;682.509;1090.000;608.573;
