D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-31.000;29.000;-55.500;71.000;-81.000;78.000;-108.500;60.000;-56.000;77.000;-59.000;68.000;-62.000;82.000;-53.000;78.000;-93.000;59.000;-54.000;
55.000;-30.047;40.000;-54.172;115.000;-69.818;125.000;-95.958;81.000;-55.865;102.000;-60.074;99.000;-60.564;107.000;-57.431;132.000;-78.750;88.000;-54.570;
68.000;-29.309;51.000;-52.930;159.000;-59.676;172.000;-84.335;102.000;-55.944;127.000;-61.328;130.000;-59.452;132.000;-62.046;186.000;-65.756;117.000;-55.448;
81.000;-29.000;62.000;-51.862;203.000;-51.615;219.000;-74.549;123.000;-56.447;152.000;-62.940;161.000;-58.986;157.000;-67.028;240.000;-55.271;146.000;-56.941;
94.000;-29.335;73.000;-51.052;247.000;-46.673;266.000;-67.520;144.000;-57.589;177.000;-65.090;192.000;-59.490;182.000;-72.563;294.000;-48.553;175.000;-59.359;
107.000;-30.528;84.000;-50.588;291.000;-45.892;313.000;-64.165;165.000;-59.581;202.000;-67.957;223.000;-61.287;207.000;-78.833;348.000;-46.855;204.000;-63.008;
120.000;-32.794;95.000;-50.557;335.000;-50.311;360.000;-65.405;186.000;-62.638;227.000;-71.721;254.000;-64.700;232.000;-86.022;402.000;-51.433;233.000;-68.198;
135.000;-37.022;109.000;-51.278;379.000;-60.970;409.000;-72.580;207.000;-66.970;257.000;-77.673;291.000;-71.340;261.000;-95.757;459.000;-64.461;264.000;-75.796;
141.000;-39.251;123.000;-52.947;402.000;-69.219;432.000;-78.195;224.000;-71.482;273.000;-81.547;313.000;-76.734;270.000;-99.097;480.000;-71.570;284.000;-81.895;
147.000;-41.732;137.000;-55.391;425.000;-78.674;455.000;-84.779;241.000;-76.629;289.000;-85.744;335.000;-82.873;279.000;-102.451;501.000;-79.492;304.000;-88.528;
153.000;-44.392;151.000;-58.369;448.000;-88.553;478.000;-91.751;258.000;-82.067;305.000;-90.061;357.000;-89.333;288.000;-105.660;522.000;-87.704;324.000;-95.197;
159.000;-47.155;165.000;-61.638;471.000;-98.074;501.000;-98.531;275.000;-87.457;321.000;-94.292;379.000;-95.688;297.000;-108.567;543.000;-95.678;344.000;-101.400;
165.000;-49.948;179.000;-64.955;494.000;-106.454;524.000;-104.537;292.000;-92.455;337.000;-98.234;401.000;-101.513;306.000;-111.015;564.000;-102.889;364.000;-106.637;
171.000;-52.695;193.000;-68.078;517.000;-112.910;547.000;-109.189;309.000;-96.720;353.000;-101.682;423.000;-106.383;315.000;-112.845;585.000;-108.812;384.000;-110.408;
181.000;-56.971;209.000;-71.099;540.000;-116.661;571.000;-111.972;328.000;-100.200;371.000;-104.715;450.000;-110.428;329.000;-114.096;612.000;-113.690;407.000;-112.283;
203.000;-64.249;230.000;-73.810;562.000;-117.229;594.000;-112.249;347.000;-102.006;390.000;-106.726;470.000;-111.715;340.000;-113.483;633.000;-114.867;429.000;-111.195;
225.000;-69.020;251.000;-75.408;584.000;-115.327;617.000;-110.579;366.000;-102.387;409.000;-107.629;490.000;-111.683;351.000;-111.693;654.000;-114.057;451.000;-107.895;
247.000;-72.054;272.000;-76.385;606.000;-111.676;640.000;-107.558;385.000;-101.738;428.000;-107.625;510.000;-110.584;362.000;-109.071;675.000;-111.761;473.000;-103.244;
269.000;-74.120;293.000;-77.232;628.000;-106.998;663.000;-103.780;404.000;-100.453;447.000;-106.917;530.000;-108.671;373.000;-105.964;696.000;-108.480;495.000;-98.105;
291.000;-75.991;314.000;-78.441;650.000;-102.014;686.000;-99.841;423.000;-98.928;466.000;-105.707;550.000;-106.197;384.000;-102.717;717.000;-104.716;517.000;-93.341;
313.000;-78.434;335.000;-80.505;672.000;-97.447;709.000;-96.335;442.000;-97.557;485.000;-104.197;570.000;-103.415;395.000;-99.676;738.000;-100.972;539.000;-89.814;
341.000;-83.588;362.000;-85.206;699.000;-93.472;736.000;-93.574;467.000;-96.652;508.000;-102.257;595.000;-99.888;407.000;-97.000;759.000;-97.747;563.000;-88.391;
362.000;-89.586;382.000;-90.548;721.000;-92.233;759.000;-92.888;488.000;-97.137;529.000;-100.616;615.000;-97.316;426.000;-94.813;779.000;-95.527;584.000;-89.821;
383.000;-96.856;402.000;-96.965;743.000;-92.588;782.000;-93.495;509.000;-98.577;550.000;-99.138;635.000;-95.135;445.000;-94.847;799.000;-94.109;605.000;-93.244;
404.000;-104.558;422.000;-103.736;765.000;-94.109;805.000;-94.961;530.000;-100.623;571.000;-97.810;655.000;-93.474;464.000;-96.550;819.000;-93.373;626.000;-97.883;
425.000;-111.846;442.000;-110.141;787.000;-96.364;828.000;-96.852;551.000;-102.926;592.000;-96.616;675.000;-92.464;483.000;-99.371;839.000;-93.193;647.000;-102.958;
