D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-31.000;29.000;-55.500;71.000;-81.000;78.000;-108.500;60.000;-56.000;77.000;-59.000;68.000;-62.000;82.000;-53.000;78.000;-93.000;59.000;-54.000;
50.000;-30.400;36.000;-54.649;99.000;-73.819;108.000;-100.437;73.000;-55.903;93.000;-59.676;88.000;-61.053;98.000;-55.824;112.000;-83.948;77.000;-54.334;
58.000;-29.850;43.000;-53.821;127.000;-66.905;138.000;-92.612;86.000;-55.857;109.000;-60.399;108.000;-60.194;114.000;-58.697;146.000;-75.210;95.000;-54.742;
66.000;-29.400;50.000;-53.037;155.000;-60.528;168.000;-85.266;99.000;-55.911;125.000;-61.217;128.000;-59.507;130.000;-61.665;180.000;-67.098;113.000;-55.297;
74.000;-29.100;57.000;-52.321;183.000;-54.955;198.000;-78.636;112.000;-56.117;141.000;-62.175;148.000;-59.082;146.000;-64.779;214.000;-59.927;131.000;-56.073;
82.000;-29.000;64.000;-51.693;211.000;-50.454;228.000;-72.962;125.000;-56.525;157.000;-63.321;168.000;-59.003;162.000;-68.085;248.000;-54.008;149.000;-57.143;
90.000;-29.150;71.000;-51.176;239.000;-47.293;258.000;-68.482;138.000;-57.185;173.000;-64.703;188.000;-59.359;178.000;-71.633;282.000;-49.656;167.000;-58.582;
98.000;-29.600;78.000;-50.793;267.000;-45.740;288.000;-65.436;151.000;-58.148;189.000;-66.366;208.000;-60.235;194.000;-75.469;316.000;-47.184;185.000;-60.462;
106.000;-30.401;85.000;-50.566;295.000;-46.063;318.000;-64.063;164.000;-59.464;205.000;-68.358;228.000;-61.719;210.000;-79.643;350.000;-46.905;203.000;-62.859;
114.000;-31.601;92.000;-50.518;323.000;-48.531;348.000;-64.601;177.000;-61.184;221.000;-70.726;248.000;-63.898;226.000;-84.203;384.000;-49.132;221.000;-65.844;
122.000;-33.251;99.000;-50.669;351.000;-53.410;378.000;-67.289;190.000;-63.358;237.000;-73.518;268.000;-66.858;242.000;-89.197;418.000;-54.179;239.000;-69.492;
135.000;-37.022;109.000;-51.278;379.000;-60.970;409.000;-72.580;207.000;-66.970;257.000;-77.673;291.000;-71.340;261.000;-95.757;459.000;-64.461;264.000;-75.796;
139.000;-38.476;118.000;-52.249;393.000;-65.804;423.000;-75.851;218.000;-69.800;267.000;-80.045;305.000;-74.664;267.000;-97.975;472.000;-68.737;277.000;-79.674;
143.000;-40.053;127.000;-53.577;407.000;-71.198;437.000;-79.564;229.000;-72.945;277.000;-82.573;319.000;-78.352;273.000;-100.222;485.000;-73.402;290.000;-83.851;
147.000;-41.732;136.000;-55.196;421.000;-76.977;451.000;-83.590;240.000;-76.315;287.000;-85.208;333.000;-82.295;279.000;-102.451;498.000;-78.331;303.000;-88.192;
151.000;-43.490;145.000;-57.043;435.000;-82.963;465.000;-87.797;251.000;-79.814;297.000;-87.900;347.000;-86.384;285.000;-104.616;511.000;-83.399;316.000;-92.557;
155.000;-45.305;154.000;-59.054;449.000;-88.980;479.000;-92.054;262.000;-83.353;307.000;-90.598;361.000;-90.509;291.000;-106.670;524.000;-88.481;329.000;-96.811;
159.000;-47.155;163.000;-61.162;463.000;-94.852;493.000;-96.231;273.000;-86.836;317.000;-93.254;375.000;-94.560;297.000;-108.567;537.000;-93.454;342.000;-100.815;
163.000;-49.018;172.000;-63.306;477.000;-100.402;507.000;-100.195;284.000;-90.173;327.000;-95.815;389.000;-98.427;303.000;-110.260;550.000;-98.192;355.000;-104.432;
167.000;-50.872;181.000;-65.419;491.000;-105.453;521.000;-103.818;295.000;-93.271;337.000;-98.234;403.000;-102.002;309.000;-111.701;563.000;-102.571;368.000;-107.524;
171.000;-52.695;190.000;-67.437;505.000;-109.830;535.000;-106.967;306.000;-96.036;347.000;-100.460;417.000;-105.174;315.000;-112.845;576.000;-106.465;381.000;-109.955;
175.000;-54.464;199.000;-69.297;519.000;-113.355;549.000;-109.511;317.000;-98.377;357.000;-102.443;431.000;-107.833;321.000;-113.645;589.000;-109.751;394.000;-111.587;
