D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
135.000;-41.000;109.000;-66.000;379.000;-160.000;409.000;-197.000;207.000;-118.000;257.000;-115.000;291.000;-117.000;261.000;-114.000;459.000;-157.000;264.000;-113.000;
238.000;-118.463;235.000;-127.190;539.000;-278.603;572.000;-303.225;337.000;-165.344;382.000;-149.292;443.000;-167.267;334.000;-112.275;609.000;-268.780;413.000;-142.354;
341.000;-193.000;362.000;-193.000;699.000;-423.000;736.000;-427.000;467.000;-222.000;508.000;-182.000;595.000;-241.000;407.000;-123.000;759.000;-395.000;563.000;-202.000;
494.000;-305.343;508.000;-284.693;857.000;-607.440;898.000;-578.572;621.000;-309.014;661.000;-216.120;741.000;-337.036;545.000;-198.688;905.000;-538.280;711.000;-314.231;
647.000;-475.000;655.000;-428.000;1015.000;-815.000;1060.000;-756.000;775.000;-408.000;814.000;-239.000;888.000;-385.000;684.000;-312.000;1052.000;-680.000;859.000;-480.000;
799.000;-748.926;808.000;-663.229;1171.000;-1019.904;1218.000;-950.080;939.000;-518.074;1031.000;-278.700;1025.000;-337.729;828.000;-418.282;1195.000;-799.309;1008.000;-689.259;
951.000;-1093.000;961.000;-974.000;1328.000;-1219.000;1377.000;-1175.000;1103.000;-653.000;1249.000;-496.000;1162.000;-295.000;973.000;-487.000;1338.000;-936.000;1157.000;-904.000;
1100.000;-1438.634;1111.000;-1318.270;1482.000;-1400.850;1531.000;-1419.992;1271.000;-839.277;1403.000;-837.897;1285.000;-349.858;1111.000;-510.919;1484.000;-1125.008;1306.000;-1093.412;
1250.000;-1711.000;1262.000;-1625.000;1636.000;-1549.000;1686.000;-1642.000;1439.000;-1072.000;1558.000;-1246.000;1408.000;-509.000;1250.000;-544.000;1630.000;-1321.000;1455.000;-1277.000;
1400.000;-1848.059;1412.000;-1823.039;1791.000;-1637.183;1842.000;-1774.224;1601.000;-1320.584;1712.000;-1596.306;1552.000;-804.126;1385.000;-635.008;1784.000;-1471.566;1607.000;-1472.624;
1551.000;-1913.000;1563.000;-1940.000;1946.000;-1626.000;1999.000;-1742.000;1763.000;-1525.000;1866.000;-1826.000;1697.000;-1114.000;1521.000;-793.000;1938.000;-1515.000;1759.000;-1616.000;
1703.000;-1969.666;1715.000;-2009.750;2103.000;-1488.947;2165.000;-1494.464;1924.000;-1611.432;2022.000;-1892.773;1850.000;-1335.821;1668.000;-1019.307;2099.000;-1416.728;1917.000;-1641.249;
1855.000;-1960.000;1868.000;-2013.000;2260.000;-1271.000;2331.000;-1188.000;2085.000;-1532.000;2179.000;-1790.000;2004.000;-1418.000;1815.000;-1222.000;2261.000;-1223.000;2075.000;-1537.000;
2013.000;-1809.697;2026.000;-1911.513;2420.000;-1027.897;2518.000;-976.406;2256.000;-1264.637;2335.000;-1536.988;2163.000;-1351.551;1970.000;-1324.342;2430.000;-995.246;2238.000;-1318.384;
2172.000;-1541.000;2184.000;-1667.000;2580.000;-814.000;2706.000;-909.000;2427.000;-993.000;2492.000;-1185.000;2323.000;-1159.000;2126.000;-1308.000;2600.000;-799.000;2402.000;-1054.000;
2343.000;-1192.860;2359.000;-1240.586;2735.000;-665.076;2873.000;-921.045;2621.000;-891.269;2638.000;-836.991;2494.000;-869.820;2291.000;-1190.085;2777.000;-669.289;2573.000;-806.172;
2514.000;-912.000;2535.000;-879.000;2891.000;-544.000;3040.000;-908.000;2815.000;-930.000;2785.000;-576.000;2666.000;-604.000;2456.000;-1043.000;2954.000;-577.000;2744.000;-616.000;
2691.000;-794.094;2720.000;-788.766;3039.000;-427.983;3199.000;-802.647;2981.000;-965.844;2921.000;-491.771;2875.000;-450.687;2628.000;-930.803;3132.000;-478.020;2923.000;-490.804;
2868.000;-754.000;2905.000;-819.000;3187.000;-334.000;3359.000;-635.000;3148.000;-936.000;3058.000;-523.000;3085.000;-465.000;2800.000;-854.000;3311.000;-389.000;3102.000;-425.000;
3043.000;-677.022;3079.000;-760.383;3322.000;-292.528;3517.000;-461.532;3312.000;-806.936;3206.000;-613.473;3258.000;-558.293;2962.000;-791.008;3517.000;-335.225;3291.000;-391.551;
3219.000;-576.000;3254.000;-634.000;3458.000;-295.000;3676.000;-328.000;3476.000;-624.000;3354.000;-689.000;3432.000;-671.000;3125.000;-717.000;3723.000;-350.000;3480.000;-355.000;
3402.000;-483.943;3449.000;-492.339;3608.000;-336.225;3821.000;-273.582;3651.000;-435.500;3511.000;-688.353;3595.000;-748.480;3277.000;-630.501;3890.000;-412.362;3653.000;-290.154;
3585.000;-399.000;3644.000;-401.000;3759.000;-374.000;3967.000;-275.000;3827.000;-295.000;3668.000;-610.000;3759.000;-777.000;3430.000;-555.000;4057.000;-485.000;3827.000;-202.000;
3770.000;-308.484;3835.000;-382.394;3914.000;-370.024;4123.000;-311.440;4064.000;-224.897;3828.000;-471.166;3921.000;-747.522;3576.000;-525.322;4210.000;-534.453;3932.000;-148.011;
3955.000;-224.000;4026.000;-370.000;4069.000;-350.000;4280.000;-331.000;4302.000;-262.000;3988.000;-283.000;4084.000;-678.000;3722.000;-555.000;4364.000;-586.000;4037.000;-116.000;
4173.000;-155.943;4218.000;-308.111;4215.000;-350.913;4442.000;-290.395;4470.000;-319.706;4080.000;-166.120;4249.000;-591.976;3872.000;-648.184;4517.000;-654.171;4225.000;-154.148;
4392.000;-155.000;4410.000;-262.000;4362.000;-384.000;4605.000;-229.000;4639.000;-349.000;4173.000;-101.000;4415.000;-514.000;4022.000;-749.000;4670.000;-699.000;4414.000;-263.000;
4599.000;-236.950;4618.000;-310.951;4511.000;-449.899;4819.000;-193.211;4793.000;-317.724;4323.000;-193.652;4579.000;-459.522;4182.000;-799.886;4829.000;-675.261;4586.000;-366.496;
4807.000;-371.000;4827.000;-434.000;4660.000;-516.000;5033.000;-193.000;4948.000;-269.000;4473.000;-367.000;4744.000;-402.000;4342.000;-779.000;4988.000;-582.000;4759.000;-464.000;
4970.000;-483.837;4994.000;-545.340;4814.000;-551.650;5200.000;-195.004;5099.000;-246.304;4638.000;-438.789;4929.000;-311.994;4509.000;-687.255;5184.000;-412.058;4921.000;-547.628;
5133.000;-575.000;5162.000;-630.000;4968.000;-560.000;5367.000;-190.000;5251.000;-239.000;4803.000;-417.000;5115.000;-253.000;4676.000;-559.000;5380.000;-303.000;5083.000;-612.000;
5291.000;-625.155;5323.000;-660.834;5122.000;-554.280;5588.000;-172.391;5431.000;-227.312;4971.000;-375.262;5303.000;-276.887;4847.000;-429.405;5554.000;-335.418;5244.000;-645.854;
5450.000;-656.000;5484.000;-661.000;5277.000;-538.000;5810.000;-174.000;5611.000;-212.000;5139.000;-318.000;5491.000;-316.000;5018.000;-324.000;5729.000;-399.000;5405.000;-651.000;
5606.000;-686.766;5643.000;-655.025;5433.000;-511.110;5980.000;-207.316;5808.000;-197.053;5307.000;-239.577;5638.000;-308.159;5217.000;-253.693;5884.000;-397.629;5571.000;-631.344;
5763.000;-710.000;5803.000;-648.000;5590.000;-469.000;6151.000;-255.000;6005.000;-189.000;5476.000;-167.000;5786.000;-291.000;5417.000;-256.000;6040.000;-364.000;5738.000;-593.000;
5918.000;-708.999;5963.000;-636.162;5756.000;-408.744;6308.000;-298.235;6187.000;-194.011;5598.000;-137.215;5935.000;-294.223;5586.000;-311.971;6199.000;-326.633;5906.000;-544.037;
6074.000;-662.000;6123.000;-599.000;5922.000;-360.000;6466.000;-352.000;6370.000;-226.000;5721.000;-133.000;6085.000;-295.000;5756.000;-355.000;6358.000;-235.000;6075.000;-496.000;
6224.000;-564.269;6274.000;-527.833;6101.000;-350.106;6622.000;-423.088;6527.000;-282.750;5871.000;-161.545;6274.000;-258.631;5910.000;-330.147;6464.000;-127.340;6243.000;-458.460;
6374.000;-458.000;6426.000;-447.000;6280.000;-377.000;6778.000;-486.000;6684.000;-352.000;6022.000;-202.000;6464.000;-225.000;6064.000;-247.000;6571.000;-56.000;6412.000;-426.000;
6517.000;-389.114;6567.000;-388.524;6444.000;-417.672;6935.000;-512.678;6846.000;-415.592;6183.000;-232.483;6640.000;-236.768;6187.000;-159.571;6699.000;-102.404;6578.000;-390.557;
6660.000;-347.000;6708.000;-342.000;6609.000;-451.000;7093.000;-500.000;7008.000;-450.000;6344.000;-266.000;6816.000;-257.000;6310.000;-114.000;6828.000;-200.000;6744.000;-341.000;
6803.000;-318.081;6847.000;-301.628;6767.000;-458.449;7255.000;-454.867;7170.000;-441.645;6505.000;-318.711;6969.000;-252.289;6428.000;-153.487;6988.000;-237.923;6898.000;-279.770;
