D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
135.000;-41.000;109.000;-66.000;379.000;-160.000;409.000;-197.000;207.000;-118.000;257.000;-115.000;291.000;-117.000;261.000;-114.000;459.000;-157.000;264.000;-113.000;
186.000;-79.538;172.000;-96.340;459.000;-217.689;490.000;-248.744;272.000;-141.090;319.000;-132.123;367.000;-140.667;297.000;-112.375;534.000;-211.987;338.000;-125.725;
237.000;-117.721;235.000;-127.190;539.000;-278.603;571.000;-302.539;337.000;-165.344;381.000;-149.022;443.000;-167.267;333.000;-112.242;609.000;-268.780;412.000;-142.091;
288.000;-155.193;298.000;-159.058;619.000;-345.965;652.000;-360.435;402.000;-191.926;443.000;-165.475;519.000;-199.733;369.000;-115.097;684.000;-329.182;486.000;-165.741;
341.000;-193.000;362.000;-193.000;699.000;-423.000;736.000;-427.000;467.000;-222.000;508.000;-182.000;595.000;-241.000;407.000;-123.000;759.000;-395.000;563.000;-202.000;
417.000;-246.039;435.000;-235.011;778.000;-510.631;817.000;-499.100;544.000;-263.126;584.000;-199.994;668.000;-289.313;476.000;-152.982;832.000;-465.083;637.000;-251.091;
493.000;-304.500;508.000;-284.693;857.000;-607.440;898.000;-578.572;621.000;-309.014;660.000;-215.927;741.000;-337.036;545.000;-198.688;905.000;-538.280;711.000;-314.231;
569.000;-376.988;581.000;-346.969;936.000;-710.029;979.000;-664.507;698.000;-357.896;736.000;-229.096;814.000;-372.753;614.000;-253.594;978.000;-610.865;785.000;-390.756;
647.000;-475.000;655.000;-428.000;1015.000;-815.000;1060.000;-756.000;775.000;-408.000;814.000;-239.000;888.000;-385.000;684.000;-312.000;1052.000;-680.000;859.000;-480.000;
723.000;-599.711;731.000;-533.942;1093.000;-918.140;1139.000;-850.102;857.000;-461.639;922.000;-249.921;956.000;-368.976;756.000;-368.580;1123.000;-740.104;933.000;-580.524;
799.000;-748.926;807.000;-661.421;1171.000;-1019.904;1218.000;-950.080;939.000;-518.074;1030.000;-278.275;1024.000;-338.213;828.000;-418.282;1194.000;-798.471;1007.000;-687.787;
875.000;-915.677;883.000;-807.577;1249.000;-1119.906;1297.000;-1057.384;1021.000;-580.722;1138.000;-349.954;1092.000;-308.340;900.000;-458.519;1265.000;-861.039;1081.000;-796.475;
951.000;-1093.000;961.000;-974.000;1328.000;-1219.000;1377.000;-1175.000;1103.000;-653.000;1249.000;-496.000;1162.000;-295.000;973.000;-487.000;1338.000;-936.000;1157.000;-904.000;
1025.000;-1268.443;1036.000;-1145.451;1405.000;-1312.650;1454.000;-1296.574;1187.000;-739.813;1326.000;-650.793;1223.000;-309.022;1042.000;-501.783;1411.000;-1025.774;1231.000;-1000.808;
1099.000;-1436.464;1111.000;-1318.270;1482.000;-1400.850;1531.000;-1419.992;1271.000;-839.277;1403.000;-837.897;1284.000;-348.988;1111.000;-510.919;1484.000;-1125.008;1305.000;-1092.197;
1173.000;-1586.222;1186.000;-1481.279;1559.000;-1480.626;1608.000;-1537.360;1355.000;-950.353;1480.000;-1040.914;1345.000;-414.608;1180.000;-522.241;1557.000;-1225.988;1379.000;-1182.095;
1250.000;-1711.000;1262.000;-1625.000;1636.000;-1549.000;1686.000;-1642.000;1439.000;-1072.000;1558.000;-1246.000;1408.000;-509.000;1250.000;-544.000;1630.000;-1321.000;1455.000;-1277.000;
1325.000;-1794.432;1337.000;-1737.204;1713.000;-1602.653;1764.000;-1723.963;1520.000;-1196.837;1635.000;-1432.966;1480.000;-647.030;1317.000;-580.771;1707.000;-1406.784;1531.000;-1376.369;
1400.000;-1848.059;1412.000;-1823.039;1790.000;-1636.888;1842.000;-1774.224;1601.000;-1320.584;1712.000;-1596.306;1552.000;-804.126;1384.000;-634.089;1784.000;-1471.566;1607.000;-1472.624;
1475.000;-1883.558;1487.000;-1888.453;1867.000;-1646.667;1920.000;-1783.594;1682.000;-1433.289;1789.000;-1729.494;1624.000;-964.438;1451.000;-703.567;1861.000;-1509.564;1683.000;-1555.816;
1551.000;-1913.000;1563.000;-1940.000;1946.000;-1626.000;1999.000;-1742.000;1763.000;-1525.000;1866.000;-1826.000;1697.000;-1114.000;1521.000;-793.000;1938.000;-1515.000;1759.000;-1616.000;
1627.000;-1944.098;1639.000;-1981.183;2024.000;-1571.981;2082.000;-1638.725;1843.000;-1585.949;1944.000;-1880.994;1773.000;-1241.016;1594.000;-902.221;2018.000;-1482.538;1838.000;-1645.620;
1703.000;-1969.666;1715.000;-2009.750;2102.000;-1490.143;2165.000;-1494.464;1923.000;-1611.362;2022.000;-1892.773;1849.000;-1334.814;1667.000;-1017.736;2098.000;-1417.705;1917.000;-1641.249;
1779.000;-1978.651;1791.000;-2021.758;2180.000;-1388.239;2248.000;-1335.471;2003.000;-1595.889;2100.000;-1862.459;1925.000;-1394.158;1740.000;-1127.592;2178.000;-1329.521;1996.000;-1604.504;
1855.000;-1960.000;1868.000;-2013.000;2260.000;-1271.000;2331.000;-1188.000;2085.000;-1532.000;2179.000;-1790.000;2004.000;-1418.000;1815.000;-1222.000;2261.000;-1223.000;2075.000;-1537.000;
1934.000;-1902.577;1947.000;-1977.812;2340.000;-1148.770;2424.000;-1061.764;2170.000;-1414.163;2257.000;-1679.487;2083.000;-1402.888;1892.000;-1288.655;2345.000;-1109.163;2156.000;-1438.887;
2013.000;-1809.697;2026.000;-1911.513;2420.000;-1027.897;2517.000;-977.112;2255.000;-1266.439;2335.000;-1536.988;2162.000;-1352.397;1969.000;-1324.078;2429.000;-996.552;2237.000;-1319.941;
2092.000;-1687.706;2105.000;-1809.458;2500.000;-914.325;2610.000;-928.199;2340.000;-1117.323;2413.000;-1370.349;2241.000;-1271.092;2046.000;-1330.297;2513.000;-891.881;2318.000;-1189.963;
2172.000;-1541.000;2184.000;-1667.000;2580.000;-814.000;2706.000;-909.000;2427.000;-993.000;2492.000;-1185.000;2323.000;-1159.000;2126.000;-1308.000;2600.000;-799.000;2402.000;-1054.000;
2257.000;-1368.545;2271.000;-1464.728;2657.000;-733.721;2789.000;-911.733;2524.000;-915.035;2565.000;-1007.309;2408.000;-1020.032;2208.000;-1258.429;2688.000;-726.171;2487.000;-924.721;
2342.000;-1194.840;2358.000;-1243.109;2734.000;-665.898;2872.000;-920.946;2621.000;-891.269;2638.000;-836.991;2493.000;-871.562;2290.000;-1190.975;2776.000;-669.862;2572.000;-807.471;
2427.000;-1037.552;2445.000;-1037.432;2811.000;-605.209;2955.000;-924.112;2718.000;-902.619;2711.000;-688.728;2578.000;-728.986;2372.000;-1116.187;2864.000;-622.885;2657.000;-704.441;
2514.000;-912.000;2535.000;-879.000;2891.000;-544.000;3040.000;-908.000;2815.000;-930.000;2785.000;-576.000;2666.000;-604.000;2456.000;-1043.000;2954.000;-577.000;2744.000;-616.000;
2602.000;-834.363;2627.000;-801.773;2965.000;-485.473;3119.000;-866.687;2898.000;-952.555;2853.000;-515.502;2770.000;-503.184;2542.000;-980.833;3043.000;-528.194;2833.000;-544.867;
2690.000;-794.402;2719.000;-788.681;3039.000;-427.983;3198.000;-803.558;2981.000;-965.844;2921.000;-491.771;2874.000;-450.977;2628.000;-930.803;3132.000;-478.020;2922.000;-491.316;
2778.000;-773.881;2811.000;-805.751;3113.000;-376.001;3277.000;-725.245;3064.000;-962.832;2989.000;-496.782;2978.000;-440.251;2714.000;-889.622;3221.000;-430.438;3011.000;-452.481;
2868.000;-754.000;2905.000;-819.000;3187.000;-334.000;3359.000;-635.000;3148.000;-936.000;3058.000;-523.000;3085.000;-465.000;2800.000;-854.000;3311.000;-389.000;3102.000;-425.000;
2955.000;-721.515;2992.000;-802.491;3254.000;-307.675;3438.000;-546.149;3230.000;-882.265;3132.000;-565.449;3171.000;-505.520;2881.000;-822.656;3414.000;-354.293;3196.000;-406.040;
3042.000;-677.572;3079.000;-760.383;3321.000;-292.669;3517.000;-461.532;3312.000;-806.936;3206.000;-613.473;3257.000;-557.645;2962.000;-791.008;3517.000;-335.225;3290.000;-391.698;
3129.000;-627.759;3166.000;-701.529;3388.000;-288.453;3596.000;-387.052;3394.000;-718.139;3280.000;-657.760;3343.000;-614.501;3043.000;-756.737;3620.000;-333.294;3384.000;-376.645;
3219.000;-576.000;3254.000;-634.000;3458.000;-295.000;3676.000;-328.000;3476.000;-624.000;3354.000;-689.000;3432.000;-671.000;3125.000;-717.000;3723.000;-350.000;3480.000;-355.000;
3310.000;-528.255;3351.000;-560.060;3533.000;-312.794;3748.000;-292.861;3563.000;-526.463;3432.000;-699.828;3513.000;-714.638;3201.000;-674.644;3806.000;-377.038;3566.000;-326.619;
3401.000;-484.411;3448.000;-492.976;3608.000;-336.225;3820.000;-273.745;3650.000;-436.473;3510.000;-688.627;3594.000;-748.138;3277.000;-630.501;3889.000;-411.915;3652.000;-290.610;
3492.000;-442.349;3545.000;-438.286;3683.000;-358.763;3892.000;-268.389;3737.000;-358.441;3588.000;-658.211;3675.000;-769.574;3353.000;-589.201;3972.000;-449.393;3738.000;-248.951;
3585.000;-399.000;3644.000;-401.000;3759.000;-374.000;3967.000;-275.000;3827.000;-295.000;3668.000;-610.000;3759.000;-777.000;3430.000;-555.000;4057.000;-485.000;3827.000;-202.000;
3677.000;-354.257;3739.000;-385.632;3836.000;-376.781;4045.000;-291.591;3945.000;-243.701;3748.000;-547.221;3840.000;-768.730;3503.000;-533.646;4133.000;-511.162;3879.000;-174.045;
3769.000;-308.972;3834.000;-382.400;3913.000;-370.148;4123.000;-311.440;4063.000;-224.934;3828.000;-471.166;3921.000;-747.522;3576.000;-525.322;4209.000;-534.156;3931.000;-148.461;
3861.000;-265.156;3929.000;-380.816;3990.000;-359.485;4201.000;-327.083;4181.000;-232.716;3908.000;-382.777;4002.000;-716.428;3649.000;-531.837;4285.000;-557.520;3983.000;-128.209;
3955.000;-224.000;4026.000;-370.000;4069.000;-350.000;4280.000;-331.000;4302.000;-262.000;3988.000;-283.000;4084.000;-678.000;3722.000;-555.000;4364.000;-586.000;4037.000;-116.000;
4064.000;-183.846;4122.000;-343.061;4142.000;-346.923;4361.000;-317.162;4386.000;-290.799;4034.000;-222.177;4166.000;-635.696;3797.000;-596.245;4440.000;-619.392;4131.000;-121.403;
4173.000;-155.943;4218.000;-308.111;4215.000;-350.913;4442.000;-290.395;4470.000;-319.706;4080.000;-166.120;4248.000;-592.496;3872.000;-648.184;4516.000;-653.742;4225.000;-154.148;
4282.000;-144.767;4314.000;-277.106;4288.000;-362.860;4523.000;-258.509;4554.000;-341.517;4126.000;-123.048;4330.000;-551.346;3947.000;-702.032;4592.000;-682.420;4319.000;-204.414;
4392.000;-155.000;4410.000;-262.000;4362.000;-384.000;4605.000;-229.000;4639.000;-349.000;4173.000;-101.000;4415.000;-514.000;4022.000;-749.000;4670.000;-699.000;4414.000;-263.000;
4495.000;-186.763;4514.000;-273.714;4436.000;-414.173;4712.000;-204.260;4716.000;-338.973;4248.000;-122.610;4497.000;-484.913;4102.000;-783.385;4749.000;-696.778;4500.000;-315.623;
4598.000;-236.398;4618.000;-310.951;4510.000;-449.411;4819.000;-193.211;4793.000;-317.724;4323.000;-193.652;4579.000;-459.522;4182.000;-799.886;4828.000;-675.642;4586.000;-366.496;
4701.000;-298.807;4722.000;-366.544;4584.000;-484.765;4926.000;-191.056;4870.000;-292.176;4398.000;-284.868;4661.000;-433.477;4262.000;-798.445;4907.000;-637.322;4672.000;-415.735;
4807.000;-371.000;4827.000;-434.000;4660.000;-516.000;5033.000;-193.000;4948.000;-269.000;4473.000;-367.000;4744.000;-402.000;4342.000;-779.000;4988.000;-582.000;4759.000;-464.000;
