D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-21.000;29.000;-45.000;71.000;-2.000;78.000;-20.000;60.000;6.000;77.000;-3.000;68.000;-7.000;82.000;8.000;78.000;-29.000;59.000;5.000;
76.000;-27.032;74.000;-40.305;188.000;-18.520;201.000;-17.978;127.000;-12.569;150.000;-30.923;163.000;-32.677;143.000;-35.718;211.000;-47.344;146.000;-28.379;
110.000;-32.442;119.000;-35.588;305.000;-22.403;324.000;-6.128;194.000;-27.710;223.000;-53.810;258.000;-51.346;204.000;-73.756;344.000;-50.502;233.000;-55.806;
144.000;-36.608;164.000;-30.827;422.000;-1.011;447.000;25.374;261.000;-35.997;296.000;-66.622;353.000;-55.997;265.000;-100.432;477.000;-23.290;320.000;-71.330;
181.000;-39.000;209.000;-26.000;540.000;59.000;571.000;87.000;328.000;-34.000;371.000;-64.000;450.000;-39.000;329.000;-110.000;612.000;51.000;407.000;-69.000;
258.000;-34.173;283.000;-16.938;619.000;125.636;652.000;147.060;399.000;-18.005;442.000;-44.439;522.000;-9.256;382.000;-100.289;685.000;114.739;482.000;-48.853;
335.000;-13.736;357.000;-2.005;698.000;210.022;733.000;219.915;470.000;10.516;513.000;-16.426;594.000;30.992;435.000;-76.971;758.000;189.830;557.000;-11.697;
412.000;24.877;431.000;24.430;777.000;306.813;814.000;301.280;541.000;48.695;584.000;9.299;666.000;76.059;488.000;-43.806;831.000;269.255;632.000;41.788;
492.000;87.000;505.000;68.000;857.000;412.000;897.000;389.000;614.000;95.000;655.000;22.000;741.000;122.000;543.000;-3.000;905.000;347.000;710.000;114.000;
569.000;170.098;581.000;135.218;936.000;518.198;977.000;474.524;694.000;150.706;760.000;6.128;813.000;159.324;614.000;53.528;977.000;414.835;784.000;196.901;
646.000;276.020;657.000;224.871;1015.000;624.574;1057.000;562.284;774.000;209.679;865.000;-24.184;885.000;184.582;685.000;110.754;1049.000;477.143;858.000;290.358;
723.000;404.182;733.000;335.382;1094.000;729.664;1137.000;654.677;854.000;270.313;970.000;-31.404;957.000;192.495;756.000;165.444;1121.000;537.921;932.000;390.387;
800.000;554.000;810.000;467.000;1173.000;832.000;1220.000;758.000;934.000;331.000;1075.000;22.000;1031.000;177.000;828.000;215.000;1195.000;603.000;1006.000;493.000;
875.000;718.651;885.000;612.190;1250.000;927.988;1297.000;862.335;1019.000;395.068;1157.000;124.861;1093.000;145.132;899.000;255.401;1267.000;672.340;1081.000;596.270;
950.000;893.528;960.000;770.263;1327.000;1020.367;1374.000;973.886;1104.000;463.407;1239.000;274.270;1155.000;111.222;970.000;287.288;1339.000;748.577;1156.000;698.257;
1025.000;1068.864;1035.000;936.882;1404.000;1109.536;1451.000;1091.049;1189.000;542.043;1321.000;456.909;1217.000;94.029;1041.000;311.191;1411.000;832.025;1231.000;799.115;
1101.000;1237.000;1111.000;1110.000;1482.000;1197.000;1531.000;1217.000;1274.000;637.000;1404.000;662.000;1280.000;113.000;1114.000;328.000;1483.000;923.000;1306.000;899.000;
1175.000;1383.220;1186.000;1279.840;1559.000;1279.698;1608.000;1338.660;1356.000;747.500;1481.000;858.870;1347.000;188.390;1181.000;338.402;1558.000;1024.313;1381.000;997.724;
1249.000;1509.586;1261.000;1440.144;1636.000;1353.054;1685.000;1449.201;1438.000;870.919;1558.000;1052.861;1414.000;308.970;1248.000;351.595;1633.000;1123.704;1456.000;1093.731;
1323.000;1614.937;1336.000;1581.557;1713.000;1410.134;1762.000;1535.164;1520.000;999.378;1635.000;1235.422;1481.000;456.242;1315.000;376.519;1708.000;1210.744;1531.000;1185.123;
1400.000;1701.000;1412.000;1696.000;1790.000;1444.000;1842.000;1584.000;1602.000;1125.000;1712.000;1398.000;1549.000;614.000;1383.000;423.000;1783.000;1275.000;1606.000;1270.000;
1475.000;1761.328;1487.000;1774.270;1868.000;1449.014;1922.000;1580.542;1682.000;1236.876;1789.000;1532.557;1624.000;778.009;1453.000;499.496;1861.000;1308.849;1683.000;1347.428;
1550.000;1801.401;1562.000;1825.071;1946.000;1424.748;2002.000;1529.006;1762.000;1328.728;1866.000;1633.112;1699.000;923.313;1523.000;597.923;1939.000;1309.463;1760.000;1408.276;
1625.000;1824.987;1637.000;1858.659;2024.000;1372.858;2082.000;1437.466;1842.000;1390.733;1943.000;1694.200;1774.000;1044.462;1593.000;707.738;2017.000;1279.531;1837.000;1444.830;
1702.000;1836.000;1714.000;1886.000;2102.000;1295.000;2162.000;1314.000;1925.000;1413.000;2023.000;1710.000;1850.000;1137.000;1666.000;823.000;2098.000;1219.000;1916.000;1449.000;
1779.000;1835.265;1791.000;1912.012;2181.000;1192.666;2250.000;1153.190;2006.000;1386.439;2101.000;1675.026;1927.000;1195.081;1741.000;931.030;2180.000;1131.362;1996.000;1413.118;
1856.000;1814.790;1868.000;1922.322;2260.000;1074.881;2338.000;987.704;2087.000;1318.811;2179.000;1595.476;2004.000;1217.070;1816.000;1021.757;2262.000;1026.099;2076.000;1342.009;
1933.000;1764.171;1945.000;1897.464;2339.000;951.135;2426.000;841.723;2168.000;1220.169;2257.000;1478.710;2081.000;1203.906;1891.000;1089.530;2344.000;913.287;2156.000;1243.536;
2012.000;1670.000;2024.000;1815.000;2420.000;828.000;2517.000;737.000;2250.000;1099.000;2337.000;1328.000;2161.000;1154.000;1967.000;1129.000;2426.000;803.000;2237.000;1124.000;
2093.000;1523.418;2105.000;1658.059;2499.000;719.519;2606.000;697.086;2344.000;948.343;2413.000;1163.517;2243.000;1067.202;2047.000;1134.837;2513.000;697.981;2320.000;989.371;
2174.000;1344.377;2186.000;1451.924;2578.000;623.420;2695.000;702.313;2438.000;806.162;2489.000;987.964;2325.000;953.343;2127.000;1109.682;2600.000;607.134;2403.000;851.455;
2255.000;1157.102;2267.000;1229.962;2657.000;538.828;2784.000;727.560;2532.000;695.455;2565.000;811.454;2407.000;823.063;2207.000;1061.610;2687.000;530.446;2486.000;719.382;
2338.000;982.000;2350.000;1021.000;2737.000;464.000;2876.000;748.000;2627.000;639.000;2642.000;642.000;2489.000;687.000;2289.000;997.000;2777.000;466.000;2570.000;601.000;
2427.000;835.737;2444.000;841.343;2813.000;401.799;2957.000;743.052;2716.000;649.345;2712.000;505.006;2585.000;533.814;2373.000;923.258;2865.000;416.595;2657.000;502.024;
2516.000;729.991;2538.000;720.439;2889.000;345.506;3038.000;715.170;2805.000;698.903;2782.000;392.691;2681.000;399.364;2457.000;848.787;2953.000;375.542;2744.000;424.380;
2605.000;655.999;2632.000;647.373;2965.000;292.003;3119.000;667.155;2894.000;757.217;2852.000;313.281;2777.000;295.732;2541.000;780.098;3041.000;336.733;2831.000;362.796;
2694.000;605.000;2727.000;611.000;3044.000;236.000;3202.000;600.000;2984.000;794.000;2922.000;275.000;2873.000;235.000;2628.000;722.000;3131.000;293.000;2918.000;312.000;
2780.000;569.666;2814.000;600.368;3113.000;185.526;3281.000;522.476;3065.000;787.525;2991.000;281.504;2970.000;224.867;2712.000;682.827;3226.000;238.355;3012.000;264.552;
2866.000;541.704;2901.000;598.492;3182.000;138.606;3360.000;437.061;3146.000;747.155;3060.000;319.686;3067.000;255.405;2796.000;654.919;3321.000;182.965;3106.000;225.258;
2952.000;515.199;2988.000;591.953;3251.000;101.736;3439.000;349.621;3227.000;682.482;3129.000;373.270;3164.000;311.155;2880.000;630.502;3416.000;137.867;3200.000;195.836;
3041.000;483.000;3078.000;566.000;3323.000;81.000;3521.000;263.000;3311.000;600.000;3201.000;428.000;3263.000;378.000;2966.000;601.000;3512.000;114.000;3294.000;178.000;
3131.000;440.691;3168.000;510.791;3393.000;82.613;3596.000;192.701;3394.000;512.225;3278.000;468.801;3345.000;430.622;3044.000;565.004;3607.000;119.457;3384.000;171.171;
3221.000;390.827;3258.000;436.213;3463.000;99.982;3671.000;134.717;3477.000;422.556;3355.000;490.304;3427.000;477.380;3122.000;522.054;3702.000;147.200;3474.000;164.876;
3311.000;337.441;3348.000;357.103;3533.000;124.859;3746.000;92.416;3560.000;334.103;3432.000;495.451;3509.000;516.718;3200.000;475.757;3797.000;187.034;3564.000;147.453;
3402.000;284.000;3440.000;287.000;3603.000;149.000;3822.000;69.000;3644.000;249.000;3510.000;487.000;3594.000;548.000;3281.000;428.000;3895.000;230.000;3656.000;106.000;
3492.000;235.013;3540.000;236.665;3681.000;167.125;3896.000;66.548;3747.000;155.499;3589.000;465.928;3676.000;567.516;3355.000;388.157;3974.000;259.835;3733.000;48.038;
3582.000;190.238;3640.000;209.059;3759.000;175.739;3970.000;78.483;3850.000;79.905;3668.000;427.391;3758.000;575.489;3429.000;355.693;4053.000;285.951;3810.000;-18.072;
3672.000;149.293;3740.000;195.466;3837.000;176.484;4044.000;97.322;3953.000;28.622;3747.000;364.908;3840.000;570.968;3503.000;334.382;4132.000;310.592;3887.000;-75.074;
3764.000;111.000;3842.000;187.000;3915.000;171.000;4120.000;116.000;4058.000;8.000;3826.000;272.000;3922.000;553.000;3577.000;328.000;4211.000;336.000;3966.000;-106.000;
3864.000;73.220;3934.000;177.502;3990.000;161.849;4200.000;127.626;4162.000;21.985;3905.000;148.944;4003.000;522.109;3650.000;338.836;4287.000;362.793;4027.000;-101.937;
3964.000;40.081;4026.000;164.688;4065.000;152.724;4280.000;129.340;4266.000;58.218;3984.000;23.048;4084.000;482.204;3723.000;364.418;4363.000;391.583;4088.000;-78.607;
4064.000;12.445;4118.000;148.279;4140.000;147.890;4360.000;120.884;4370.000;100.979;4063.000;-71.622;4165.000;438.322;3796.000;401.292;4439.000;421.582;4149.000;-44.404;
4165.000;-9.000;4210.000;128.000;4218.000;152.000;4440.000;102.000;4476.000;135.000;4142.000;-101.000;4249.000;394.000;3869.000;446.000;4515.000;452.000;4213.000;-6.000;
4283.000;-23.913;4318.000;100.948;4291.000;167.265;4535.000;67.384;4556.000;145.911;4184.000;-80.701;4331.000;355.981;3947.000;497.961;4593.000;481.633;4308.000;41.743;
4401.000;-22.983;4426.000;80.131;4364.000;191.448;4630.000;27.518;4636.000;144.814;4226.000;-41.424;4413.000;322.263;4025.000;547.336;4671.000;502.857;4403.000;81.201;
4519.000;-0.451;4534.000;77.498;4437.000;221.157;4725.000;-7.777;4716.000;134.617;4268.000;7.726;4495.000;290.709;4103.000;586.544;4749.000;507.652;4498.000;119.429;
4638.000;50.000;4642.000;105.000;4510.000;253.000;4823.000;-29.000;4797.000;118.000;4313.000;61.000;4580.000;258.000;4181.000;608.000;4827.000;488.000;4594.000;164.000;
4721.000;103.285;4731.000;155.651;4585.000;284.697;4917.000;-28.357;4870.000;100.048;4394.000;135.293;4663.000;224.557;4262.000;605.697;4909.000;436.306;4676.000;210.635;
4804.000;165.855;4820.000;222.874;4660.000;313.331;5011.000;-14.470;4943.000;81.346;4475.000;182.392;4746.000;191.150;4343.000;581.590;4991.000;364.142;4758.000;261.675;
4887.000;230.583;4909.000;294.660;4735.000;337.167;5105.000;1.902;5016.000;63.845;4556.000;208.526;4829.000;160.059;4424.000;541.195;5073.000;286.919;4840.000;311.879;
4971.000;291.000;4998.000;359.000;4813.000;355.000;5202.000;10.000;5092.000;49.000;4638.000;220.000;4914.000;133.000;4508.000;488.000;5158.000;218.000;4922.000;356.000;
5051.000;338.376;5079.000;402.853;4890.000;364.384;5291.000;2.412;5174.000;38.578;4721.000;221.875;5017.000;109.239;4592.000;428.669;5260.000;167.604;5002.000;389.292;
5131.000;376.024;5160.000;432.900;4967.000;366.809;5380.000;-14.583;5256.000;32.844;4804.000;215.788;5120.000;94.845;4676.000;365.824;5362.000;148.313;5082.000;413.655;
5211.000;405.534;5241.000;451.447;5044.000;364.101;5469.000;-33.020;5338.000;29.951;4887.000;202.623;5223.000;88.511;4760.000;301.382;5464.000;150.493;5162.000;430.941;
5293.000;429.000;5325.000;461.000;5122.000;358.000;5559.000;-45.000;5422.000;28.000;4971.000;183.000;5328.000;89.000;4847.000;235.000;5569.000;165.000;5242.000;443.000;
5371.000;446.534;5404.000;463.317;5199.000;350.113;5665.000;-42.705;5518.000;24.982;5056.000;157.445;5406.000;92.926;4935.000;170.913;5647.000;177.983;5324.000;451.299;
5449.000;461.066;5483.000;461.623;5276.000;340.223;5771.000;-26.321;5614.000;20.685;5141.000;126.200;5484.000;98.419;5023.000;114.773;5725.000;189.630;5406.000;454.598;
5527.000;474.269;5562.000;458.378;5353.000;327.778;5877.000;-2.439;5710.000;15.065;5226.000;89.126;5562.000;103.936;5111.000;71.996;5803.000;197.487;5488.000;451.443;
5606.000;488.000;5644.000;456.000;5431.000;312.000;5986.000;23.000;5807.000;8.000;5313.000;45.000;5642.000;108.000;5199.000;48.000;5884.000;199.000;5572.000;440.000;
5684.000;502.586;5724.000;456.237;5511.000;292.164;6066.000;39.061;5906.000;-0.196;5387.000;3.578;5714.000;109.142;5298.000;47.230;5962.000;191.879;5655.000;419.905;
5762.000;514.787;5804.000;456.498;5591.000;269.312;6146.000;54.562;6005.000;-6.942;5461.000;-35.721;5786.000;107.798;5397.000;66.990;6040.000;175.640;5738.000;394.025;
5840.000;520.179;5884.000;453.260;5671.000;244.386;6226.000;72.285;6104.000;-9.292;5535.000;-66.143;5858.000;104.127;5496.000;97.186;6118.000;149.960;5821.000;366.204;
5920.000;514.000;5964.000;443.000;5752.000;218.000;6309.000;96.000;6206.000;-4.000;5610.000;-81.000;5933.000;98.000;5596.000;128.000;6197.000;114.000;5905.000;340.000;
5997.000;493.613;6041.000;424.077;5839.000;189.972;6386.000;124.669;6286.000;7.413;5674.000;-77.380;6012.000;89.384;5675.000;145.995;6287.000;62.422;5989.000;318.700;
6074.000;460.633;6118.000;397.459;5926.000;165.872;6463.000;157.967;6366.000;25.445;5738.000;-62.684;6091.000;79.675;5754.000;154.066;6377.000;9.027;6073.000;301.156;
6151.000;417.836;6195.000;365.221;6013.000;149.836;6540.000;193.207;6446.000;49.936;5802.000;-42.646;6170.000;70.192;5833.000;148.561;6467.000;-34.573;6157.000;285.191;
6228.000;368.000;6275.000;328.000;6100.000;146.000;6620.000;229.000;6529.000;82.000;5866.000;-23.000;6252.000;62.000;5914.000;125.000;6560.000;-57.000;6244.000;268.000;
6300.000;317.810;6348.000;292.597;6186.000;156.617;6699.000;260.788;6608.000;117.993;5944.000;-5.552;6352.000;55.741;5986.000;87.662;6584.000;-57.617;6327.000;249.285;
6372.000;268.088;6421.000;257.294;6272.000;177.400;6778.000;286.974;6687.000;155.850;6022.000;6.520;6452.000;52.852;6058.000;42.065;6608.000;-56.275;6410.000;228.694;
6444.000;223.032;6494.000;223.445;6358.000;202.550;6857.000;305.674;6766.000;191.454;6100.000;16.939;6552.000;52.038;6130.000;-2.632;6632.000;-53.388;6493.000;207.135;
6518.000;186.000;6568.000;192.000;6447.000;227.000;6936.000;315.000;6846.000;221.000;6181.000;30.000;6654.000;52.000;6204.000;-38.000;6658.000;-49.000;6578.000;185.000;
6589.000;162.164;6638.000;165.923;6527.000;243.257;7015.000;313.694;6927.000;240.814;6262.000;48.431;6733.000;51.791;6257.000;-51.984;6740.000;-30.495;6659.000;164.359;
6660.000;147.187;6708.000;143.334;6607.000;253.738;7094.000;303.007;7008.000;250.670;6343.000;71.249;6812.000;51.430;6310.000;-56.054;6822.000;-9.024;6740.000;143.105;
6731.000;137.116;6778.000;123.883;6687.000;259.101;7173.000;284.816;7089.000;251.692;6424.000;96.443;6891.000;51.104;6363.000;-50.847;6904.000;10.458;6821.000;119.799;
6802.000;128.000;6849.000;107.000;6767.000;260.000;7252.000;261.000;7170.000;245.000;6505.000;122.000;6970.000;51.000;6416.000;-37.000;6986.000;23.000;6902.000;93.000;
6874.000;116.769;6917.000;93.410;6846.000;257.095;7337.000;231.784;7251.000;231.921;6586.000;145.836;7046.000;51.297;6485.000;-7.565;7066.000;25.370;6974.000;65.977;
6946.000;104.901;6985.000;83.161;6925.000;250.784;7422.000;203.820;7332.000;214.602;6667.000;165.578;7122.000;52.218;6554.000;31.098;7146.000;21.164;7046.000;39.404;
7018.000;94.842;7053.000;77.302;7004.000;241.374;7507.000;182.698;7413.000;195.396;6748.000;178.781;7198.000;54.006;6623.000;74.651;7226.000;15.125;7118.000;17.629;
7091.000;89.000;7124.000;77.000;7084.000;229.000;7595.000;174.000;7497.000;176.000;6829.000;183.000;7276.000;57.000;6694.000;120.000;7309.000;12.000;7190.000;5.000;
7170.000;89.611;7198.000;83.216;7165.000;213.815;7684.000;183.067;7585.000;159.090;6908.000;177.196;7359.000;61.442;6769.000;163.887;7393.000;16.446;7260.000;4.209;
7249.000;95.884;7272.000;92.146;7246.000;195.960;7773.000;206.383;7673.000;148.714;6987.000;164.678;7442.000;65.867;6844.000;201.042;7477.000;29.031;7330.000;11.710;
7328.000;105.372;7346.000;98.774;7327.000;175.375;7862.000;238.221;7761.000;147.982;7066.000;149.608;7525.000;68.634;6919.000;229.352;7561.000;49.259;7400.000;23.043;
7410.000;116.000;7421.000;98.000;7408.000;152.000;7954.000;274.000;7849.000;160.000;7146.000;136.000;7611.000;68.000;6996.000;247.000;7646.000;77.000;7472.000;34.000;
7498.000;125.741;7518.000;81.213;7491.000;125.338;8037.000;303.985;7939.000;187.325;7227.000;127.413;7697.000;62.740;7074.000;251.698;7726.000;108.912;7547.000;40.658;
7586.000;133.106;7615.000;55.014;7574.000;97.105;8120.000;328.985;8029.000;226.205;7308.000;123.994;7783.000;54.749;7152.000;245.439;7806.000;143.895;7622.000;42.957;
7674.000;137.918;7712.000;31.303;7657.000;68.727;8203.000;346.734;8119.000;271.604;7389.000;124.794;7869.000;46.661;7230.000;231.460;7886.000;178.994;7697.000;42.528;
7762.000;140.000;7810.000;22.000;7742.000;41.000;8287.000;355.000;8210.000;319.000;7472.000;129.000;7958.000;41.000;7308.000;213.000;7968.000;212.000;7772.000;41.000;
7852.000;139.506;7900.000;33.841;7827.000;16.016;8370.000;352.083;8295.000;360.118;7553.000;134.793;8048.000;40.647;7385.000;193.125;8049.000;239.009;7854.000;39.450;
7942.000;138.094;7990.000;59.516;7912.000;-5.327;8453.000;339.810;8380.000;394.203;7634.000;138.048;8138.000;46.815;7462.000;172.640;8130.000;259.605;7936.000;37.395;
8032.000;137.885;8080.000;90.123;7997.000;-22.257;8536.000;320.632;8465.000;417.437;7715.000;133.930;8228.000;60.254;7539.000;152.148;8211.000;273.390;8018.000;33.693;
8122.000;141.000;8171.000;117.000;8082.000;-34.000;8619.000;297.000;8551.000;426.000;7798.000;117.000;8319.000;82.000;7617.000;132.000;8293.000;280.000;8102.000;27.000;
8209.000;148.793;8256.000;132.249;8178.000;-40.410;8704.000;270.452;8635.000;417.445;7873.000;88.154;8403.000;109.442;7695.000;112.889;8375.000;279.092;8191.000;15.997;
8296.000;161.352;8341.000;140.071;8274.000;-40.216;8789.000;242.683;8719.000;395.302;7948.000;51.626;8487.000;141.666;7773.000;94.442;8457.000;271.672;8280.000;2.750;
8383.000;178.352;8426.000;144.607;8370.000;-34.414;8874.000;214.572;8803.000;364.085;8023.000;14.452;8571.000;175.807;7851.000;76.085;8539.000;259.026;8369.000;-10.326;
8472.000;200.000;8511.000;150.000;8466.000;-24.000;8959.000;187.000;8890.000;327.000;8100.000;-17.000;8655.000;209.000;7930.000;57.000;8623.000;242.000;8460.000;-21.000;
8557.000;223.892;8599.000;159.823;8548.000;-12.483;9043.000;160.573;8980.000;288.397;8159.000;-32.447;8740.000;238.887;8009.000;37.328;8704.000;222.794;8564.000;-27.398;
8642.000;248.172;8687.000;173.128;8630.000;-0.620;9127.000;132.970;9070.000;252.918;8218.000;-39.979;8825.000;263.058;8088.000;18.989;8785.000;201.247;8668.000;-27.990;
8727.000;269.617;8775.000;188.041;8712.000;9.294;9211.000;101.632;9160.000;223.561;8277.000;-40.108;8910.000;279.699;8167.000;4.405;8866.000;177.572;8772.000;-23.881;
8812.000;285.000;8865.000;203.000;8795.000;15.000;9295.000;64.000;9252.000;203.000;8338.000;-33.000;8995.000;287.000;8246.000;-4.000;8950.000;151.000;8878.000;-16.000;
8897.000;291.941;8953.000;215.666;8879.000;14.722;9372.000;23.265;9341.000;193.860;8408.000;-16.648;9080.000;283.971;8326.000;-4.430;9032.000;123.396;8963.000;-7.582;
8982.000;291.430;9041.000;225.692;8963.000;9.900;9449.000;-18.019;9430.000;191.549;8478.000;6.899;9165.000;272.913;8406.000;2.318;9114.000;94.839;9048.000;3.007;
9067.000;285.304;9129.000;232.621;9047.000;2.879;9526.000;-52.963;9519.000;190.985;8548.000;35.875;9250.000;256.950;8486.000;14.602;9196.000;66.113;9133.000;16.289;
9155.000;275.000;9217.000;236.000;9131.000;-4.000;9605.000;-75.000;9609.000;187.000;8619.000;69.000;9336.000;239.000;8567.000;31.000;9278.000;38.000;9219.000;33.000;
9240.000;263.011;9301.000;235.623;9213.000;-8.613;9665.000;-79.016;9695.000;176.258;8695.000;106.534;9421.000;222.076;8648.000;49.490;9392.000;1.533;9301.000;52.061;
9325.000;250.376;9385.000;231.961;9295.000;-10.342;9725.000;-74.395;9781.000;159.573;8771.000;143.933;9506.000;206.306;8729.000;67.389;9506.000;-29.363;9383.000;72.490;
9410.000;238.329;9469.000;225.381;9377.000;-8.674;9785.000;-64.826;9867.000;138.918;8847.000;178.852;9591.000;191.465;8810.000;81.820;9620.000;-51.819;9465.000;92.174;
9496.000;228.000;9555.000;216.000;9460.000;-3.000;9845.000;-54.000;9954.000;116.000;8926.000;210.000;9678.000;177.000;8893.000;90.000;9735.000;-63.000;9547.000;109.000;
9576.000;220.714;9637.000;204.837;9539.000;6.219;9931.000;-41.633;;;9007.000;233.710;9761.000;163.681;8972.000;89.794;9825.000;-62.415;9626.000;121.085;
9656.000;214.331;9719.000;191.433;9618.000;17.663;10017.000;-33.017;;;9088.000;246.010;9844.000;150.700;9051.000;84.243;9915.000;-55.169;9705.000;129.981;
9736.000;207.032;9801.000;175.622;9697.000;29.442;10103.000;-26.906;;;9169.000;243.741;9927.000;137.945;9130.000;76.844;10005.000;-43.459;9784.000;137.115;
9816.000;197.000;9884.000;157.000;9779.000;40.000;10190.000;-22.000;;;9252.000;223.000;10012.000;125.000;9211.000;71.000;10098.000;-29.000;9864.000;144.000;
9895.000;183.108;9963.000;136.804;9858.000;47.076;;;;;9338.000;180.648;;;9289.000;69.756;;;9944.000;151.726;
9974.000;165.876;10042.000;114.701;9937.000;51.515;;;;;9424.000;125.284;;;9367.000;72.342;;;10024.000;160.303;
10053.000;146.404;10121.000;91.324;10016.000;54.197;;;;;9510.000;67.529;;;9445.000;77.485;;;10104.000;169.449;
10135.000;125.000;10201.000;67.000;10095.000;56.000;;;;;9596.000;18.000;;;9524.000;84.000;;;10185.000;179.000;
;;;;;;;;;;9718.000;-24.018;;;9607.000;90.959;;;;;
;;;;;;;;;;9840.000;-37.572;;;9690.000;97.234;;;;;
;;;;;;;;;;9962.000;-32.124;;;9773.000;102.141;;;;;
;;;;;;;;;;10085.000;-17.000;;;9856.000;105.000;;;;;
;;;;;;;;;;;;;;9938.000;105.365;;;;;
;;;;;;;;;;;;;;10020.000;103.728;;;;;
;;;;;;;;;;;;;;10102.000;100.749;;;;;
;;;;;;;;;;;;;;10186.000;97.000;;;;;
